aad	xaa1 xas
vermurwbaarheid	xaw xbj0 xaq xam xbr1 xaq xaw xab xaa0 xaq xaf xbk0 xai xas
vermurwen	xaw xbj0 xaq xam xbr1 xaq xbq xbj0 xan
vernachelen	xaw xbj0 xaq xan xbg1 xax xbj0 xal xbj0 xan
vernauwen	xaw xbj0 xaq xan xbg1 xav xbj0 xan
vernederlandsen	xaw xbj0 xaq xan xad1 xac xbj0 xaq xal xbg0 xan xas xar xbj0 xan
vernederlandsing	xaw xbj0 xaq xan xad1 xac xbj0 xaq xal xbg0 xan xas xar xbo0 xbd
vernemen	xaw xbj0 xaq xan xad1 xam xbj0 xan
verneukeratief	xaw xbj0 xaq xan xbc1 xak xbj0 xaq xaa0 xas xag0 xae
vernevelaar	xaw xbj0 xaq xan xad1 xaw xbj0 xal xaa0 xaq
vernevelapparaat	xaw xbj0 xaq xan xad1 xaw xbj0 xal xbg0 xap xaa0 xaq xaa0 xas
vernevelen	xaw xbj0 xaq xan xad1 xaw xbj0 xal xbj0 xan
vernieler	xaw xbj0 xaq xan xag1 xal xbj0 xaq
vernietigen	xaw xbj0 xaq xan xag1 xas xbj0 xbn xbj0 xan
vernietiging	xaw xbj0 xaq xan xag1 xas xbj0 xbn xbo0 xbd
vernietigingsoorlog	xaw xbj0 xaq xan xag1 xas xbj0 xbn xbo0 xbd xar xao0 xaq xal xbh0 xax
vernieuwen	xaw xbj0 xaq xan xag1 xav xbj0 xan
vernieuwer	xaw xbj0 xaq xan xag1 xav xbj0 xaq
vernis	xaw xbj0 xaq xan xbo1 xar
vernissen	xaw xbj0 xaq xan xbo1 xar xbj0 xan
vernoorsen	xaw xbj0 xaq xan xao1 xaq xar xbj0 xan
vernoorsing	xaw xbj0 xaq xan xao1 xaq xar xbo0 xbd
vernuftig	xaw xbj0 xaq xan xbr1 xae xas xbj0 xax
veronachtzamen	xaw xbj0 xaq xbh1 xan xbg0 xax xas xbb xaa0 xam xbj0 xan
veronderstellen	xaw xbj0 xaq xbh1 xan xac xbj0 xaq xar xas xbk0 xal xbj0 xan
veronderstelling	xaw xbj0 xaq xbh1 xan xac xbj0 xaq xar xas xbk0 xal xbo0 xbd
verongelijken	xaw xbj0 xaq xbh1 xan xbn xbj0 xal xbk0 xbo0 xak xbj0 xan
verongelukken	xaw xbj0 xaq xbh1 xbd xbn xbj0 xal xbr0 xak xbj0 xan
verontreinigen	xaw xbj0 xaq xbh1 xan xas xaq xbk0 xai xan xbj0 xbn xbj0 xan
verontreiniging	xaw xbj0 xaq xbh1 xan xas xaq xbk0 xai xan xbj0 xbn xbo0 xbd
verontrustende	xaw xbj0 xaq xbh1 xan xas xaq xbr0 xar xas xbj0 xan xac xbj0
verontschuldigen	xaw xbj0 xaq xbh1 xan xas xar xax xbr0 xal xac xbj0 xbn xbj0 xan
veroorlogen	xaw xbj0 xaq xao1 xaq xal xao0 xbn xbj0 xan
veroorzaken	xaw xbj0 xaq xao1 xaq xbb xaa0 xak xbj0 xan
veroorzaker	xaw xbj0 xaq xao1 xaq xbb xaa0 xak xbj0 xaq
veroudering	xaw xbj0 xaq xbg1 xav xac xbj0 xaq xbo0 xbd
veroveraar	xaw xbj0 xaq xao1 xaw xbj0 xaq xaa0 xaq
veroveren	xaw xbj0 xaq xao1 xaw xbj0 xaq xbj0 xan
verovering	xaw xbj0 xaq xao1 xaw xbj0 xaq xbo0 xbd
veroveringsoorlog	xaw xbj0 xaq xao1 xaw xbj0 xaq xbo0 xbd xar xao0 xaq xal xbh0 xax
verpakking	xaw xbj0 xaq xap xbg1 xak xbo0 xbd
verpanden	xaw xbj0 xaq xap xbg1 xan xac xbj0 xan
verpersoonlijken	xaw xbj0 xaq xap xbj0 xaq xar xao1 xan xal xbj0 xak xbj0 xan
verpersoonlijking	xaw xbj0 xaq xap xbj0 xaq xar xao1 xan xal xbj0 xak xbo0 xbd
verplaatsen	xaw xbj0 xaq xap xal xaa1 xas xar xbj0 xan
verplaatsing	xaw xbj0 xaq xap xal xaa1 xas xar xbo0 xbd
verpleeghuis	xaw xbj0 xaq xap xal xad1 xax xaf xbe0 xba xar
verpleeghuisarts	xaw xbj0 xaq xap xal xad1 xax xaf xbe0 xba xar xbg0 xaq xas xar
verpleegkunde	xaw xbj0 xaq xap xal xad1 xax xak xbr0 xan xac xbj0
verpleegkundig	xaw xbj0 xaq xap xal xad1 xax xak xbr0 xan xac xbj0 xax
verpleegkundige	xaw xbj0 xaq xap xal xad1 xax xak xbr0 xan xac xbj0 xbn xbj0
verpleegster	xaw xbj0 xaq xap xal xad1 xax xar xas xbj0 xaq
verpleger	xaw xbj0 xaq xap xal xad1 xbn xbj0 xaq
verplichten	xaw xbj0 xaq xap xal xbo1 xax xas xbj0 xan
verplichting	xaw xbj0 xaq xap xal xbo1 xax xas xbo0 xbd
verpoolsen	xaw xbj0 xaq xap xao1 xal xar xbj0 xan
verpoolsing	xaw xbj0 xaq xap xao1 xal xar xbo0 xbd
verpotten	xaw xbj0 xaq xap xbh1 xas xbj0 xan
verpretparkiseren	xaw xbj0 xaq xap xaq xbk1 xas xap xbg0 xaq xak xag0 xbb xad0 xaq xbj0 xan
verpulveren	xaw xbj0 xaq xap xbr1 xal xaw xbj0 xaq xbj0 xan
verpulvering	xaw xbj0 xaq xap xbr1 xal xaw xbj0 xaq xbo0 xbd
verraad	xaw xbj0 xaq xaa1 xas
verrader	xaw xbj0 xaq xaa1 xac xbj0 xaq
verrassen	xaw xbj0 xaq xbg1 xar xbj0 xan
verrassingen	xaw xbj0 xaq xbg1 xar xbo0 xbd xbj0 xan
verrassingselement	xaw xbj0 xaq xbg1 xar xbo0 xbd xar xad0 xal xbj0 xam xbk0 xan xas
verre	xaw xbk1 xaq xbj0
verrek	xaw xbj0 xaq xbk1 xak
verrekijker	xaw xbk1 xaq xbj0 xak xbk0 xai xak xbj0 xaq
verreweg	xaw xbk1 xaq xbj0 xbq xbk0 xbn
verrichten	xaw xbj0 xaq xbo1 xax xas xbj0 xan
verrichting	xaw xbj0 xaq xbo1 xax xas xbo0 xbd
verrijden	xaw xbj0 xaq xaq xbk1 xai xac xbj0 xan
verrijgen	xaw xbj0 xaq xaq xbk1 xai xbn xbj0 xan
verrijzen	xaw xbj0 xaq xaq xbk1 xai xbb xbj0 xan
verroeren	xaw xbj0 xaq xat1 xaq xbj0 xan
verroest	xaw xbj0 xaq xat1 xar xas
verrot	xaw xbj0 xaq xbh1 xas
verruilen	xaw xbj0 xaq xaq xbe1 xba xal xbj0 xan
verruimen	xaw xbj0 xaq xbe1 xba xam xbj0 xan
verrukkelijk	xaw xbj0 xaq xbr1 xak xbj0 xal xbj0 xak
verrukken	xaw xbj0 xaq xbr1 xak xbj0 xan
verruwen	xaw xbj0 xaq xaq xay1 xav xbj0 xan
vers	xaw xbk1 xaq xar
versassen	xaw xbj0 xaq xar xbg1 xar xbj0 xan
verschalen	xaw xbj0 xaq xar xax xaa1 xal xbj0 xan
verschalken	xaw xbj0 xaq xar xax xbg1 xal xak xbj0 xan
verschansen	xaw xbj0 xaq xar xax xbg1 xan xar xbj0 xan
verscheiden	xaw xbj0 xaq xar xax xbk1 xai xac xbj0 xan
verscheidene	xaw xbj0 xaq xar xax xbk1 xai xac xbj0 xan xbj0
verscheidenheid	xaw xbj0 xaq xar xax xbk1 xai xac xbj0 xan xaf xbk0 xai xas
verschepen	xaw xbj0 xaq xar xax xad1 xap xbj0 xan
verschieten	xaw xbj0 xaq xar xax xag1 xas xbj0 xan
verschijnen	xaw xbj0 xaq xar xax xbk1 xai xan xbj0 xan
verschijning	xaw xbj0 xaq xar xax xbk1 xai xan xbo0 xbd
verschijningsvorm	xaw xbj0 xaq xar xax xbk1 xai xan xbo0 xbd xar xaw xbh0 xaq xam
verschijnsel	xaw xbj0 xaq xar xax xbk1 xai xan xar xbj0 xal
verschil	xaw xbj0 xaq xar xax xbo1 xal
verschillen	xaw xbj0 xaq xar xax xbo1 xal xbj0 xan
verschillend	xaw xbj0 xaq xar xax xbo1 xal xbj0 xan xas
verschilt	xaw xbj0 xaq xar xax xbo1 xal xas
verschonen	xaw xbj0 xaq xar xax xao1 xan xbj0 xan
verschoning	xaw xbj0 xaq xar xax xao1 xan xbo0 xbd
verschoof	xaw xbj0 xaq xar xax xao1 xae
verschooft	xaw xbj0 xaq xar xax xao1 xae xas
verschove	xaw xbj0 xaq xar xax xao1 xaw xbj0
verschoven	xaw xbj0 xaq xar xax xao1 xaw xbj0 xan
verschrikkelijk	xaw xbj0 xaq xar xax xaq xbo1 xak xbj0 xal xbj0 xak
verschrikkelijke	xaw xbj0 xaq xar xax xaq xbo1 xak xbj0 xal xbj0 xak xbj0
verschroeien	xaw xbj0 xaq xar xax xaq xat1 xai xbj0 xan
verschuif	xaw xbj0 xaq xar xax xbe1 xba xae
verschuift	xaw xbj0 xaq xar xax xbe1 xba xae xas
verschuive	xaw xbj0 xaq xar xax xbe1 xba xaw xbj0
verschuiven	xaw xbj0 xaq xar xax xbe1 xba xaw xbj0 xan
verschuivend	xaw xbj0 xaq xar xax xbe1 xba xaw xbj0 xan xas
verschuiving	xaw xbj0 xaq xar xax xbe1 xba xaw xbo0 xbd
verschuldigd	xaw xbj0 xaq xar xax xbr1 xal xac xbj0 xax xas
vershoudfolie	xaw xbk1 xaq xar xaf xbg0 xav xas xae xao0 xal xag0
versie	xaw xbk1 xaq xbb xag0
versjteren	xaw xbj0 xaq xbp xas xad1 xaq xbj0 xan
verslaafde	xaw xbj0 xaq xar xal xaa1 xae xac xbj0
verslaan	xaw xbj0 xaq xar xal xaa1 xan
verslag	xaw xbj0 xaq xar xal xbg1 xax
verslaggever	xaw xbj0 xaq xar xal xbg1 xax xbn xad0 xaw xbj0 xaq
verslapen	xaw xbj0 xaq xar xal xaa1 xap xbj0 xan
verslaven	xaw xbj0 xaq xar xal xaa1 xaw xbj0 xan
verslaving	xaw xbj0 xaq xar xal xaa1 xaw xbo0 xbd
verslechteren	xaw xbj0 xaq xar xal xbk1 xax xas xbj0 xaq xbj0 xan
verslechtering	xaw xbj0 xaq xar xal xbk1 xax xas xbj0 xaq xbo0 xbd
verslijpen	xaw xbj0 xaq xar xal xbk1 xai xap xbj0 xan
verslikken	xaw xbj0 xaq xar xal xbo1 xak xbj0 xan
verslinden	xaw xbj0 xaq xar xal xbo1 xan xac xbj0 xan
verslinken	xaw xbj0 xaq xar xal xbo1 xbd xak xbj0 xan
verslonzen	xaw xbj0 xaq xar xal xbh1 xan xbb xbj0 xan
versluieren	xaw xbj0 xaq xar xal xbe1 xba xaj xbj0 xaq xbj0 xan
versluizen	xaw xbj0 xaq xar xal xbe1 xba xbb xbj0 xan
versmelten	xaw xbj0 xaq xar xam xbk1 xal xas xbj0 xan
versmijten	xaw xbj0 xaq xar xam xbk1 xai xas xbj0 xan
versnellen	xaw xbj0 xaq xar xan xbk1 xal xbj0 xan
versneller	xaw xbj0 xaq xar xan xbk1 xal xbj0 xaq
versnelling	xaw xbj0 xaq xar xan xbk1 xal xbo0 xbd
versnellingspook	xaw xbj0 xaq xar xan xbk1 xal xbo0 xbd xar xap xao0 xak
versnijden	xaw xbj0 xaq xar xan xbk1 xai xac xbj0 xan
versnijdenis	xaw xbj0 xaq xar xan xbk1 xai xac xbj0 xan xbo0 xar
versoepelen	xaw xbj0 xaq xar xat1 xap xbj0 xal xbj0 xan
versoepeling	xaw xbj0 xaq xar xat1 xap xbj0 xal xbo0 xbd
verspaansen	xaw xbj0 xaq xar xap xaa1 xan xar xbj0 xan
verspaansing	xaw xbj0 xaq xar xap xaa1 xan xar xbo0 xbd
verspannen	xaw xbj0 xaq xar xap xbg1 xan xbj0 xan
verspekken	xaw xbj0 xaq xar xap xbk1 xak xbj0 xan
versperring	xaw xbj0 xaq xar xap xbk1 xaq xbo0 xbd
verspillen	xaw xbj0 xaq xar xap xbo1 xal xbj0 xan
verspilling	xaw xbj0 xaq xar xap xbo1 xal xbo0 xbd
verspinnen	xaw xbj0 xaq xar xap xbo1 xan xbj0 xan
verspreken	xaw xbj0 xaq xar xap xaq xad1 xak xbj0 xan
verspringen	xaw xbj0 xaq xar xap xaq xbo1 xbd xbj0 xan
verspringer	xaw xbk1 xaq xar xap xaq xbo0 xbd xbj0 xaq
verspuiten	xaw xbj0 xaq xar xap xbe1 xba xas xbj0 xan
verst	xaw xbk1 xaq xar xas
verstaan	xaw xbj0 xaq xar xas xaa1 xan
verstaanbaar	xaw xbj0 xaq xar xas xaa1 xan xab xaa0 xaq
verstand	xaw xbj0 xaq xar xas xbg1 xan xas
verstandelijk	xaw xbj0 xaq xar xas xbg1 xan xac xbj0 xal xbj0 xak
verstandigste	xaw xbj0 xaq xar xas xaa1 xan xac xbj0 xax xar xas xbj0
verstandshuwelijk	xaw xbj0 xaq xar xas xbg1 xan xas xar xaf xay0 xbq xbj0 xal xbj0 xak
verstandskies	xaw xbj0 xaq xar xas xbg1 xan xas xar xak xag0 xar
verstandsverbijstering	xaw xbj0 xaq xar xas xbg1 xan xas xar xaw xbj0 xaq xab xbk0 xai xar xas xbj0 xaq xbo0 xbd
verstedelijken	xaw xbj0 xaq xar xas xad1 xac xbj0 xal xbj0 xak xbj0 xan
verstedelijking	xaw xbj0 xaq xar xas xad1 xac xbj0 xal xbj0 xak xbo0 xbd
verstek	xaw xbj0 xaq xar xas xbk1 xak
verstekeling	xaw xbj0 xaq xar xas xad1 xak xbj0 xal xbo0 xbd
versteken	xaw xbj0 xaq xar xas xad1 xak xbj0 xan
verstelbaar	xaw xbj0 xaq xar xas xbk1 xal xab xaa0 xaq
verstelbare	xaw xbj0 xaq xar xas xbk1 xal xab xaa0 xaq xbj0
verstenen	xaw xbj0 xaq xar xas xad1 xan xbj0 xan
verstening	xaw xbj0 xaq xar xas xad1 xan xbo0 xbd
versterken	xaw xbj0 xaq xar xas xbk1 xaq xak xbj0 xan
versterkend	xaw xbj0 xaq xar xas xbk1 xaq xak xbj0 xan xas
versterker	xaw xbj0 xaq xar xas xbk1 xaq xak xbj0 xaq
versterking	xaw xbj0 xaq xar xas xbk1 xaq xak xbo0 xbd
versterven	xaw xbj0 xaq xar xas xbk1 xaq xaw xbj0 xan
verstevigen	xaw xbj0 xaq xar xas xad1 xaw xbj0 xbn xbj0 xan
verstikken	xaw xbj0 xaq xar xas xbo1 xak xbj0 xan
verstikking	xaw xbj0 xaq xar xas xbo1 xak xbo0 xbd
verstinken	xaw xbj0 xaq xar xas xbo1 xan xak xbj0 xan
verstoffelijken	xaw xbj0 xaq xar xas xbh1 xae xbj0 xal xbj0 xak xbj0 xan
verstokt	xaw xbj0 xaq xar xas xbh1 xak xas
verstoppen	xaw xbj0 xaq xar xas xbh1 xap xbj0 xan
verstopping	xaw xbj0 xaq xar xas xbh1 xap xbo0 xbd
verstoring	xaw xbj0 xaq xar xas xao1 xaq xbo0 xbd
verstrengelen	xaw xbj0 xaq xar xas xaq xbk1 xbd xbj0 xal xbj0 xan
verstrengeling	xaw xbj0 xaq xar xas xaq xbk1 xbd xbj0 xal xbo0 xbd
verstuiken	xaw xbj0 xaq xar xas xbe1 xba xak xbj0 xan
verstuiten	xaw xbj0 xaq xar xas xbe1 xba xas xbj0 xan
verstuiven	xaw xbj0 xaq xar xas xbe1 xba xaw xbj0 xan
versvoet	xaw xbk1 xaq xar xaw xat0 xas
vertaalbaar	xaw xbj0 xaq xas xaa1 xal xab xaa0 xaq
vertaalkunde	xaw xbj0 xaq xas xaa1 xal xak xbr0 xan xac xbj0
vertaalster	xaw xbj0 xaq xas xaa1 xal xar xas xbj0 xaq
vertaalwetenschap	xaw xbj0 xaq xas xaa1 xal xbq xad0 xas xbj0 xan xar xax xbg0 xap
vertaalwoordenboek	xaw xbj0 xaq xas xaa1 xal xbq xao0 xaq xac xbj0 xan xab xat0 xak
vertaalwoordenboeken	xaw xbj0 xaq xas xaa1 xal xbq xao0 xaq xac xbj0 xan xab xat0 xak xbj0 xan
vertaalwoordenboekje	xaw xbj0 xaq xas xaa1 xal xbq xao0 xaq xac xbj0 xan xab xat0 xak xaj xbj0
vertaalwoordenboekjes	xaw xbj0 xaq xas xaa1 xal xbq xao0 xaq xac xbj0 xan xab xat0 xak xaj xbj0 xar
vertakken	xaw xbj0 xaq xas xbg1 xak xbj0 xan
vertakking	xaw xbj0 xaq xas xbg1 xak xbo0 xbd
vertalen	xaw xbj0 xaq xas xaa1 xal xbj0 xan
vertaler	xaw xbj0 xaq xas xaa1 xal xbj0 xaq
vertaling	xaw xbj0 xaq xas xaa1 xal xbo0 xbd
verte	xaw xbk1 xaq xas xbj0
verteerbaar	xaw xbj0 xaq xas xad1 xaq xab xaa0 xaq
vertegenwoordigen	xaw xbj0 xaq xas xad1 xbn xbj0 xan xbq xao0 xaq xac xbj0 xbn xbj0 xan
vertegenwoordiger	xaw xbj0 xaq xas xad1 xbn xbj0 xan xbq xao0 xaq xac xbj0 xbn xbj0 xaq
vertegenwoordiging	xaw xbj0 xaq xas xad1 xbn xbj0 xan xbq xao0 xaq xac xbj0 xbn xbo0 xbd
vertegenwoordigster	xaw xbj0 xaq xas xad1 xbn xbj0 xan xbq xao0 xaq xac xbj0 xax xar xas xbj0 xaq
vertekend	xaw xbj0 xaq xas xad1 xak xbj0 xan xas
vertekenen	xaw xbj0 xaq xas xad1 xak xbj0 xan xbj0 xan
verteld	xaw xbj0 xaq xas xbk1 xal xas
vertellen	xaw xbj0 xaq xas xbk1 xal xbj0 xan
vertelling	xaw xbj0 xaq xas xbk1 xal xbo0 xbd
vertelt	xaw xbj0 xaq xas xbk1 xal xas
verteren	xaw xbj0 xaq xas xad1 xaq xbj0 xan
vertering	xaw xbj0 xaq xas xad1 xaq xbo0 xbd
verteringskanaal	xaw xbj0 xaq xas xad1 xaq xbo0 xbd xar xak xaa0 xan xaa0 xal
vertier	xaw xbj0 xaq xas xag1 xaq
vertiktokken	xaw xbj0 xaq xas xbo1 xak xas xbh0 xak xbj0 xan
vertiktokking	xaw xbj0 xaq xas xbo1 xak xas xbh0 xak xbo0 xbd
vertillen	xaw xbj0 xaq xas xbo1 xal xbj0 xan
vertoog	xaw xbj0 xaq xas xao1 xax
vertraagd	xaw xbj0 xaq xas xaq xaa1 xax xas
vertragen	xaw xbj0 xaq xas xaq xaa1 xbn xbj0 xan
vertraging	xaw xbj0 xaq xas xaq xaa1 xbn xbo0 xbd
vertreden	xaw xbj0 xaq xas xaq xad1 xac xbj0 xan
vertrek	xaw xbj0 xaq xas xaq xbk1 xak
vertrekhaven	xaw xbj0 xaq xas xaq xbk1 xak xaf xaa0 xaw xbj0 xan
vertrekken	xaw xbj0 xaq xas xaq xbk1 xak xbj0 xan
vertrekt	xaw xbj0 xaq xas xaq xbk1 xak xas
vertroebelen	xaw xbj0 xaq xas xaq xat1 xab xbj0 xal xbj0 xan
vertroetelen	xaw xbj0 xaq xas xaq xat1 xas xbj0 xal xbj0 xan
vertrossen	xaw xbj0 xaq xas xaq xbh1 xar xbj0 xan
vertrossing	xaw xbj0 xaq xas xaq xbh1 xar xbo0 xbd
vertrouwelijk	xaw xbj0 xaq xas xaq xbg1 xav xbj0 xal xbj0 xak
vertrouweling	xaw xbj0 xaq xas xaq xbg1 xav xbj0 xal xbo0 xbd
vertrouwelinge	xaw xbj0 xaq xas xaq xbg1 xav xbj0 xal xbo0 xbd xbj0
vertrouwen	xaw xbj0 xaq xas xaq xbg1 xav xbj0 xan
vertrouwensbreuk	xaw xbj0 xaq xas xaq xbg1 xav xbj0 xan xar xab xaq xbc0 xak
vertwijfeling	xaw xbj0 xaq xas xbq xbk1 xai xae xbj0 xal xbo0 xbd
vervaard	xaw xbj0 xaq xaw xaa1 xaq xas
vervaardheid	xaw xbj0 xaq xaw xaa1 xaq xas xaf xbk0 xai xas
vervaarnis	xaw xbj0 xaq xaw xaa1 xaq xan xbo0 xar
vervaldatum	xaw xbj0 xaq xaw xbg1 xal xac xaa0 xas xbr0 xam
vervalsen	xaw xbj0 xaq xaw xbg1 xal xar xbj0 xan
vervalsing	xaw xbj0 xaq xaw xbg1 xal xar xbo0 xbd
vervangen	xaw xbj0 xaq xaw xbg1 xbd xbj0 xan
vervanger	xaw xbj0 xaq xaw xbg1 xbd xbj0 xaq
vervaren	xaw xbj0 xaq xaw xaa1 xaq xbj0 xan
verveerd	xaw xbj0 xaq xaw xad1 xaq xas
vervelen	xaw xbj0 xaq xaw xad1 xal xbj0 xan
vervelend	xaw xbj0 xaq xaw xad1 xal xbj0 xan xas
verveling	xaw xbj0 xaq xaw xad1 xal xbo0 xbd
vervellen	xaw xbj0 xaq xaw xbk1 xal xbj0 xan
verveloos	xaw xbk1 xaq xaw xbj0 xal xao0 xar
verven	xaw xbk1 xaq xaw xbj0 xan
vervenen	xaw xbj0 xaq xaw xad1 xan xbj0 xan
vervening	xaw xbj0 xaq xaw xad1 xan xbo0 xbd
verveningen	xaw xbj0 xaq xaw xad1 xan xbo0 xbd xbj0 xan
verveningspolder	xaw xbj0 xaq xaw xad1 xan xbo0 xbd xar xap xbh0 xal xac xbj0 xaq
verversen	xaw xbj0 xaq xaw xbk1 xaq xar xbj0 xan
vervlaamsen	xaw xbj0 xaq xaw xal xaa1 xam xar xbj0 xan
vervlechten	xaw xbj0 xaq xaw xal xbk1 xax xas xbj0 xan
vervlieden	xaw xbj0 xaq xaw xal xag1 xac xbj0 xan
vervliegen	xaw xbj0 xaq xaw xal xag1 xbn xbj0 xan
vervlieten	xaw xbj0 xaq xaw xal xag1 xas xbj0 xan
vervloeken	xaw xbj0 xaq xaw xal xat1 xak xbj0 xan
vervoegen	xaw xbj0 xaq xaw xat1 xbn xbj0 xan
vervoer	xaw xbj0 xaq xaw xat1 xaq
vervoering	xaw xbj0 xaq xaw xat1 xaq xbo0 xbd
vervoermiddel	xaw xbj0 xaq xaw xat1 xaq xam xbo0 xac xbj0 xal
vervoersmiddel	xaw xbj0 xaq xaw xat1 xaq xar xam xbo0 xac xbj0 xal
vervolg	xaw xbj0 xaq xaw xbh1 xal xax
vervolgen	xaw xbj0 xaq xaw xbh1 xal xbn xbj0 xan
vervolgens	xaw xbj0 xaq xaw xbh1 xal xbn xbj0 xan xar
vervolging	xaw xbj0 xaq xaw xbh1 xal xbn xbo0 xbd
vervolgingen	xaw xbj0 xaq xaw xbh1 xal xbn xbo0 xbd xbj0 xan
vervolgonderwijs	xaw xbj0 xaq xaw xbh1 xal xax xbh0 xan xac xbj0 xaq xbq xbk0 xai xar
vervolgonderzoek	xaw xbj0 xaq xaw xbh1 xal xax xbh0 xan xac xbj0 xaq xbb xat0 xak
vervolgstap	xaw xbj0 xaq xaw xbh1 xal xax xar xas xbg0 xap
vervolgstappen	xaw xbj0 xaq xaw xbh1 xal xax xar xas xbg0 xap xbj0 xan
vervolgstudie	xaw xbj0 xaq xaw xbh1 xal xax xar xas xay0 xac xag0
vervolgziek	xaw xbj0 xaq xaw xbh1 xal xax xbb xag0 xak
vervolmaken	xaw xbj0 xaq xaw xbh1 xal xam xaa0 xak xbj0 xan
vervolmaking	xaw xbj0 xaq xaw xbh1 xal xam xaa0 xak xbo0 xbd
vervriezen	xaw xbj0 xaq xaw xaq xag1 xbb xbj0 xan
vervroeg	xaw xbj0 xaq xaw xaq xat1 xax
vervroegd	xaw xbj0 xaq xaw xaq xat1 xax xas
vervroegen	xaw xbj0 xaq xaw xaq xat1 xbn xbj0 xan
vervroegt	xaw xbj0 xaq xaw xaq xat1 xax xas
vervuiling	xaw xbj0 xaq xaw xbe1 xba xal xbo0 xbd
verwaaien	xaw xbj0 xaq xbq xaa1 xai xbj0 xan
verwaarloosbaar	xaw xbj0 xaq xbq xaa1 xaq xal xao0 xbb xab xaa0 xaq
verwaarlozen	xaw xbj0 xaq xbq xaa1 xaq xal xao0 xbb xbj0 xan
verwachting	xaw xbj0 xaq xbq xbg1 xax xas xbo0 xbd
verwachtingspatroon	xaw xbj0 xaq xbq xbg1 xax xas xbo0 xbd xar xap xaa0 xas xaq xao0 xan
verwachtingswaarde	xaw xbj0 xaq xbq xbg1 xax xas xbo0 xbd xar xbq xaa0 xaq xac xbj0
verwant	xaw xbj0 xaq xbq xbg1 xan xas
verwarming	xaw xbj0 xaq xbq xbg1 xaq xam xbo0 xbd
verwarren	xaw xbj0 xaq xbq xbg1 xaq xbj0 xan
verwassen	xaw xbj0 xaq xbq xbg1 xar xbj0 xan
verwaten	xaw xbj0 xaq xbq xaa1 xas xbj0 xan
verwedden	xaw xbj0 xaq xbq xbk1 xac xbj0 xan
verweerder	xaw xbj0 xaq xbq xad1 xaq xac xbj0 xaq
verwegen	xaw xbj0 xaq xbq xad1 xbn xbj0 xan
verwekken	xaw xbj0 xaq xbq xbk1 xak xbj0 xan
verwekker	xaw xbj0 xaq xbq xbk1 xak xbj0 xaq
verwelken	xaw xbj0 xaq xbq xbk1 xal xak xbj0 xan
verwelkomen	xaw xbj0 xaq xbq xbk1 xal xak xao0 xam xbj0 xan
verwelkt	xaw xbj0 xaq xbq xbk1 xal xbj0 xak xas
verwen	xaw xbj0 xaq xbq xbk1 xan
verwennen	xaw xbj0 xaq xbq xbk1 xan xbj0 xan
verwensing	xaw xbj0 xaq xbq xbk1 xan xar xbo0 xbd
verwerken	xaw xbj0 xaq xbq xbk1 xaq xak xbj0 xan
verwerpelijk	xaw xbj0 xaq xbq xbk1 xaq xap xbj0 xal xbj0 xak
verwerpen	xaw xbj0 xaq xbq xbk1 xaq xap xbj0 xan
verwerven	xaw xbj0 xaq xbq xbk1 xaq xaw xbj0 xan
verwezen	xaw xbj0 xaq xbq xad1 xbb xbj0 xan
verwezenlijken	xaw xbj0 xaq xbq xad1 xbb xbj0 xan xal xbj0 xak xbj0 xan
verwezenlijking	xaw xbj0 xaq xbq xad1 xbb xbj0 xan xal xbj0 xak xbo0 xbd
verwijderen	xaw xbj0 xaq xbq xbk1 xai xac xbj0 xaq xbj0 xan
verwijdering	xaw xbj0 xaq xbq xbk1 xai xac xbj0 xaq xbo0 xbd
verwijt	xaw xbj0 xaq xbq xbk1 xai xas
verwijtbaar	xaw xbj0 xaq xbq xbk1 xai xas xab xaa0 xaq
verwijten	xaw xbj0 xaq xbq xbk1 xai xas xbj0 xan
verwilderen	xaw xbj0 xaq xbq xbo1 xal xac xbj0 xaq xbj0 xan
verwinden	xaw xbj0 xaq xbq xbo1 xan xac xbj0 xan
verwinnen	xaw xbj0 xaq xbq xbo1 xan xbj0 xan
verwisseling	xaw xbj0 xaq xbq xbo1 xar xbj0 xal xbo0 xbd
verwoesten	xaw xbj0 xaq xbq xat1 xar xas xbj0 xan
verwoesting	xaw xbj0 xaq xbq xat1 xar xas xbo0 xbd
verwonderend	xaw xbj0 xaq xbq xbh1 xan xac xbj0 xaq xbj0 xan xas
verwoorden	xaw xbj0 xaq xbq xao1 xaq xac xbj0 xan
verworven	xaw xbj0 xaq xbq xbh1 xaq xaw xbj0 xan
verworvenheid	xaw xbj0 xaq xbq xbh1 xaq xaw xbj0 xan xaf xbk0 xai xas
verwrijven	xaw xbj0 xaq xaw xaq xbk1 xai xaw xbj0 xan
verwurgen	xaw xbj0 xaq xbq xbr1 xaq xbn xbj0 xan
veryuppen	xaw xbj0 xaq xaj xbr1 xap xbj0 xan
verzachten	xaw xbj0 xaq xbb xbg1 xax xas xbj0 xan
verzadigd	xaw xbj0 xaq xbb xaa1 xac xbj0 xax xas
verzadigen	xaw xbj0 xaq xbb xaa1 xac xbj0 xbn xbj0 xan
verzadiging	xaw xbj0 xaq xbb xaa1 xac xbj0 xbn xbo0 xbd
verzadigingspunt	xaw xbj0 xaq xbb xaa1 xac xbj0 xbn xbo0 xbd xar xap xbr0 xan xas
verzaken	xaw xbj0 xaq xbb xaa1 xak xbj0 xan
